Title,Description
Η σκέψη να γίνει πράξη με ΚΚΕ δυνατό | #ΤΩΡΑ_ΚΚΕ,"Στις εκλογές στις 21 Μαΐου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ

Ή τα κέρδη τους ή οι ζωές μας.
Αυτό το σύνθημα ενώνει τον κόσμο της δουλειάς, της μόρφωσης και του αγώνα και τον χωρίζει από τον κόσμο της εκμετάλλευσης και της βαρβαρότητας.
Με τους λίγους και τα προνόμιά τους είναι τα κόμματα που κυβέρνησαν και κυβερνούν.
Απέναντι είναι ο λαός με τις πραγματικές του ανάγκες, με δύναμη του το Κομμουνιστικό Κόμμα.
Είναι μόνοι τους και είμαστε όλοι μας!
Επειδή, αυτοί.... είναι και έτσι θα μείνουν, την επόμενη ημέρα χρειάζεται να είναι πιο ισχυρός αυτός που τελικά θα τους νικήσει!
Με οργή αλλά και με αισιοδοξία, με καρδιά, η σκέψη να γίνει πράξη με ΚΚΕ δυνατό!

http://ekloges.kke.gr
http://www.902.gr"
Μόνο ο λαός σώζει το λαό | 21 Μαΐου ψηφίζουμε ΚΚΕ | Καλλιτέχνες,"Στις εκλογές στις 21 Μαΐου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ

Στις 21 Μαίου ψηφίζουμε.
Με την ψήφο μας, μπορούμε να επιλέξουμε ξανά κάποιον από αυτούς που υποβαθμίζουν τις σπουδές, την τέχνη μας, τις ζωές μας.
Μπορούμε όμως, και να επιλέξουμε τον αντιπαλό τους.
Δίνουμε δύναμη στο κόμμα που βρίσκεται με συνέπεια στο πλευρό μας. 
Στην βουλή, στους χώρους εκπαίδευσης & πολιτισμού, στους καθημερινούς αγώνες μας.
Ψηφίζουμε - Δυναμώνουμε το ΚΚΕ, για να είμαστε εμείς πιο δυνατοί.

http://ekloges.kke.gr
http://www.902.gr"
Μόνο ο λαός σώζει το λαό | 21 Μαΐου ψηφίζουμε ΚΚΕ | Φοιτητές-Σπουδαστές,"Στις εκλογές στις 21 Μαΐου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ

Με τη ψήφο μας, μπορούμε να επιλέξουμε ξανά, κάποιον από αυτούς που υποβαθμίζουν τις σπουδές και το μέλλον μας. Που θεωρούν κόστος τις ζωές μας.
Μπορούμε όμως και να επιλέξουμε τον αντιπαλό τους.
Αυτόν που είναι μαζί μας. Που αγωνίζεται για τα δικαιώματα των πολλών, όχι για τα κέρδη των λίγων. 
Για να γίνει η οργή μας, δύναμη σύγκρουσης και ανατροπής. 
Ψηφίζουμε - Δυναμώνουμε το Κομμουνιστικό Κόμμα Ελλάδας... Για να είμαστε εμείς πιο δυνατοί.

http://ekloges.kke.gr
http://www.902.gr"
Ξέρουμε τι θα κάνουν την επόμενη μέρα #2 | #ΤΩΡΑ_ΚΚΕ,"Ξέρουμε τι θα κάνουν την επόμενη μέρα.
Ξέρουμε ποιος θα είναι ο αντίπαλός τους!

#ΤΩΡΑ_ΚΚΕ #εκλογές2023 #ΚΚΕ"
Ξέρουμε τι θα κάνουν την επόμενη μέρα | #ΤΩΡΑ_ΚΚΕ,"Ξέρουμε τι θα κάνουν την επόμενη μέρα.
Ξέρουμε ποιος θα είναι ο αντίπαλός τους!

#ΤΩΡΑ_ΚΚΕ #εκλογές2023 #ΚΚΕ"
ΟΛΟΙ ΣΤΟ ΣΥΝΤΑΓΜΑ 17 ΜΑΗ | #ΤΩΡΑ_ΚΚΕ,"Μεγάλη προεκλογική συγκέντρωση του Κομμουνιστικού Κόμματος Ελλάδας στο Σύνταγμα.
Τετάρτη 17 Μαΐου. ώρα 20.00.
Θα μιλήσει ο Δημήτρης Κουτσούμπας.
Με καρδιά, με οργή, με μυαλό, για Κομμουνιστικό Κόμμα Ελλάδας πιο δυνατό.
ΜΟΝΟΙ ΤΟΥΣ ΚΑΙ ΟΛΟΙ ΜΑΣ
#ΤΩΡΑ_ΚΚΕ

Ευχαριστούμε το συγκρότημα ""Υπεραστικοί"" για την παραχώρηση του μουσικού κομματιού τους ""αμερικανοτσολιάδες"". 

http://ekloges.kke.gr
http://www.902.gr"
Μόνο ο λαός σώζει το λαό | 21 Μαΐου ψηφίζουμε ΚΚΕ | Εργαζόμενοι,"Στις εκλογές στις 21 Μαΐου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
#ΤΩΡΑ_ΚΚΕ#εκλογές2023#ΚΚΕ

Στις 21 Μαΐου ψηφίζουμε.
Με την ψήφο μας μπορούμε να επιλέξουμε ξανά, κάποιον από αυτούς 
που μας μαυρίζουν τη ζωή. 
Μπορούμε όμως, και να επιλέξουμε το κόμμα που αγωνίζεται δίπλα μας, με πράξεις.
Ψηφίζουμε - Δυναμώνουμε το Κομμουνιστικό Κόμμα Ελλάδας... Για να είμαστε εμείς πιο δυνατοί.

- Κατάργηση όλων των αντεργατικών νόμων της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ για τις Συλλογικές Συμβάσεις Εργασίας & τους μισθούς.
- Επαναφορά των συλλογικών διαπραγματεύσεων για την εθνική γενική συλλογική σύμβαση.
- Κατώτατο μισθό πάνω από 850€ & επαναφορά των 3ετιών.
- Αφορολόγητο στα 12.000€ για κάθε εργαζόμενο, προσαυξημένο κατά 3.000€ για κάθε παιδί.
- Επαναφορά των κλαδικών συλλογικών συμβάσεων εργασίας και της υποχρεωτικοτητας τους χωρίς προϋποθέσεις.
- Σταθερή δουλειά με 7ωρο – 5νθήμερο - 35ωρο. Κατάργηση των απλήρωτων υπερωριών
Επαναφορά της κυριακάτικης αργίας.
- Αυξήσεις 20% για τους δημοσίους υπαλλήλους & επαναφορά του 13ου & 14ου μισθού.

http://ekloges.kke.gr
http://www.902.gr"
Προεκλογικό δεκάλεπτο του ΚΚΕ | Μόνο ο λαός σώζει τον λαό | #ΤΩΡΑ_ΚΚΕ,
9 Μάη 1945 - 9 Μάη 2023 | Μεγάλη αντιφασιστική νίκη των λαών,
Η σταθερότητά τους σημαίνει περισσότερη αστάθεια & ανασφάλεια για τον λαό | #ΤΩΡΑ_ΚΚΕ,"Στις εκλογές στις 21 Μαΐου ψηφίζουμε - δυναμώνουμε το ΚΚΕ.
ΜΟΝΟ Ο ΛΑΟΣ ΣΩΖΕΙ ΤΟ ΛΑΟ
ΜΕ ΚΚΕ ΔΥΝΑΤΟ

#ΤΩΡΑ_ΚΚΕ
#εκλογές2023
#ΚΚΕ

http://ekloges.kke.gr
http://www.kke.gr
http://www.902.gr"
