Title,Description
"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |189.05.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούMesogeios TV και στον δημοσιογράφο Θάνος Τζιουβέλης
"Συνέντευξη στο ""Kontra Channel"" | 18.05.2023",➡Συνέντευξη στην εκπομπή KONTRA 24 με την δημοσιογράφο Natasa Giamali
"Συνέντευξη στο ""STAR TV"" | 18.05.23",
"Συνέντευξη στον ""ΑΝΤ1 TV "" | 17.05.2023",Συνέντευξη στο Κεντρικό Δελτίο Ειδήσεων του ANT1 και στο Νίκο Χατζηνικολάου
"Συνέντευξη στο ""ATTICA TV"" | 16.05.2023","Συνέντευξη στην εκπομπή ""CASUS BELLI"" του Attica TV και στον Νίκο Παναγιωτόπουλο"
"Συνέντευξη στο ""OPEN TV"" | 16.05.23","Συνέντευξή μου στον τηλεοπτικό σταθμό ""OPEN TV"""
"Συνέντευξη στον ""Alpha TV"" | 15.05.2023","Συνέντευξη στο Κεντρικό Δελτίο Ειδήσεων του ""Alpha TV"" και στον Αντώνη Σρόιτερ"
"Συνέντευξη στο ""in.gr"" | 15.05.2023","Συνέντευξη στο ""in.gr"" και στον Βασίλη  Κανέλλη"
"Συνέντευξη στο ""Πρώτο Πρόγραμμα"" της ΕΡΤ | 13.05.2023","Συνέντευξη στο ""Πρώτο Πρόγραμμα"" της ΕΡΤ και στον δημοσιογράφο Αλφόνσο Βιτάλη"
"Συνέντευξη στην ""ΕΡΤ"" | 12.05.2023","Συνέντευξη στην τηλεοπτική εκπομπή ""Debate"" της ΕΡΤ και τους δημοσιογράφους Γιώργο Κουβαρά, Κώστα Παπαχλιμίντζο και Νίνα Κασιμάτη"
"Συνέντευξη στο ""Κόκκινο105.5"" | 11.05.2023","Συνέντευξη στον ρ/στ ""Κόκκινο 105.5"" και στους δημοσιογράφους Γιώργο Τραπεζιώτη και Γιώργο Μελιγγώνη"
"Συνέντευξη στον ""BEST TV"" | 10.05.2023","Συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του ""BEST TV"""
"Συνέντευξη στον ρ/στ ""Παραπολιτικά FM"" | 10.05.2023",Συνέντευξη στα Παραπολιτικά FM 90.1 και στους Σωτήρη Ξενάκη και Βασίλη Σκουρή
"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |09.05.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούMesogeios TVV και στον δημοσιογράφο Θάνο Τζιούβελη
Στις εκλογές της 21ης Μαΐου ψηφίζουμε για μια νέα αναπτυξιακή πορεία της χώρας. Ψηφίζουμε ΣΥΡΙΖΑ -ΠΣ,
Στις εκλογές της 21ης Μαΐου υψώνουμε τείχος προστασίας απέναντι στην ακρίβεια. Ψηφίζουμε ΣΥΡΙΖΑ-ΠΣ.,
"Συνέντευξη στον ""REAL FM"" | 08.05.2023",
"Συνέντευξη στο ""Action24""  | 03.05.2023",Συνέντευξή μου στο Action24 και στους δημοσιογάφους Γιώργος Κακούσης & Άννα Λιβαθινού
"Συνέντευξη στον τ/στ ""MEGA TV"" | 02.05.2023","Συνέντευξη στην εκπομπή ""Ο δρόμος προς την κάλπη"" του Mega TV και στην δημοσιογράφο  Ράνια Τζίμα"
"Συνέντευξη στο ""Kontra Channel""  | 02.05.2023","Ζωντανά η συνέντευξή μου στο ""Kontra Channel"" και στον Γ. Μελιγγώνη"
"Τοποθέτηση στο ""Delphi Economic Forum VIII"" | 27.04.2023",Οικονομικό Φόρουμ των Δελφών VIII
Εκδήλωση  Πανεπιστήμιο Πελοποννήσου | 20.04.2023,Τοποθέτηση μου στην ημερίδα με θέμα «Η ελληνική επιχειρηματικότητα:Προοπτικές και προκλήσεις. Ο ρόλος της ΤριτοβάθμιαςΕκπαίδευσης» διοργανώνει η Σχολή Διοίκησης τουΠανεπιστημίου Πελοποννήσου.
"Συνέντευξη στον ""Αθήνα 9.84""  | 25.04.2023","Συνέντευξη στον  ρ/στ ""Αθήνα 9.84"" και στην Κατερίνα Παπαβασιλείου"
"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |20.04.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούMesogeios TVV και στον δημοσιογράφο Θάνο Τζιούβελη
Τοποθέτηση στην παρουσίαση ψηφοδελτίου ΣΥ.ΡΙΖ.Α. Π.Σ. | 19.04.2023,Παρουσίαση ψηφοδελτίου ΣΥ.ΡΙΖ.Α. Π.Σ.  για τις εθνικές εκλογές στις 21.05.2023
"Συνέντευξη στον τ/στ ""BEST TV"" Καλαμάτας | 14.04.2023",➡ Συνέντευξή μου στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Themis Kanellopoulos
"Συνέντευξη στον ""Open TV"" | 19.04.2023","Συνέντευξη στην εκπομπή ""Ώρα Ελλάδος"" του Open TV και τους Δημήτρη Καμπουράκη και Παναγιώτη Στάθη"
"Συνέντευξη στον ""Real FM 97.8"" | 18.04.2023","Συνέντευξη στον ρ/στ ""Real FM 97.8"" και στον Νίκο Χατζηνικολάου"
"Συνέντευξη στο  ""newsbomb.gr"" | 13.04.2023","Συνέντευξη στην εκπομπή ""Meeting Point"" του newsbomb.gr και στην Όλγα Τρέμη"
"Συνέντευξη στο ""MEGA TV"" | 12.04.2023","Συνέντευξη στην εκπομπή ""Κοινωνία Ώρα Mega"" και στους Ιορδάνη Χασαπόπουλο και Ανθή Βούλγαρη"
"Συνέντευξη στον τ/στ ""ΕΡΤ-1"" |11.04.2023",📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούERT11 και στον δημοσιογράφο Απόστολο Μαγγηριάδη
"Συνέντευξη στον ""Ελλάδα FM 94.3"" | 06.04.2023","Συνέντευξη στον ""Ελλάδα FM 94.3"" και στον Γιώργο Βούλγαρη"
Τοποθέτηση στην εκδήλωση του ΣΥ.ΡΙΖ.Α. - Π.Σ.| 04.04.2023,"Εκδήλωση του ΣΥ.ΡΙΖ.Α. - Π.Σ. για την προστασία της πρώτης κατοικίας , της επαγγελματικής στέγης και της Αγροτικής γης."
Συνέντευξη στον ρ/στ Flash fm 99.4 | 04.04.2023,
"Συνέντευξη στο ""Kontra Channel"" | 03.04.2023","Δεσμευόμαστε σε δίκαιη ρύθμιση των κόκκινων δανείων και επαναφορά
προστασίας της πρώτης κατοικίας για τους πιο ευάλωτους - Μόνο έτσι η ανάπτυξη θα αφορά το σύνολο της κοινωνίας

➡Συνέντευξη στο Κεντρικό Δελτίο Ειδήσεων του ""Kontra Channel"" και στον Γιώργο Μελιγγώνη"
"Συνέντευξη στον ""ΑΝΤ1 TV"" | 03.04.2023","Το μεταναστευτικό είναι πολύ σύνθετο ζήτημα – Δεν αντιμετωπίζεται με τους φτηνούς επικοινωνιακούς τυχοδιωκτισμούς του κ. Μητσοτάκη

➡Συνέντευξη στο Κεντρικό Δελτίο Ειδήσεων του ""ΑΝΤ1 TV"""
Χαιρετισμός - Τοποθέτηση στο 1ο Messinia Forum | 12/03/2023,
