Title,Description
Κυριάκος Μητσοτάκης: Στη Σύνοδο Κορυφής της Διαδικασίας του Βερολίνου στα Τίρανα,"Κυριάκος Μητσοτάκης: Στη Σύνοδο Κορυφής της Διαδικασίας του Βερολίνου στα Τίρανα

Η Ελλάδα στηρίζει την ενταξιακή προοπτική των Δυτικών Βαλκανίων. Ο δρόμος αυτός είναι ένας δρόμος δύσκολος, ο οποίος απαιτεί από τις χώρες των Δυτικών Βαλκανίων σημαντικές προσαρμογές στο ευρωπαϊκό κεκτημένο. 

Και βέβαια, η μία αρχή η οποία είναι αδιαπραγμάτευτη για την Ευρωπαϊκή Ένωση, αλλά και για την Ελλάδα, είναι ο σεβασμός του Κράτους Δικαίου. Δυστυχώς, τους τελευταίους μήνες, στο ζήτημα αυτό η Αλβανία έχει κάνει σημαντικές υποχωρήσεις. Αναφέρομαι συγκεκριμένα στην περίπτωση του εκλεγμένου Δημάρχου της Χειμάρρας, του Φρέντι Μπελέρη, ο οποίος παραμένει εδώ και πέντε μήνες προφυλακισμένος.

Θέλω να τονίσω τον σεβασμό μου στην ανεξαρτησία της αλβανικής Δικαιοσύνης. Δεν έχω ουδεμία διάθεση παρέμβασης στον τρόπο με τον οποίον λειτουργεί. Θέλω όμως να τονίσω με κατηγορηματικό τρόπο, ότι ο Φρέντι Μπελέρης έχει δικαίωμα έστω και προφυλακισμένος να ορκιστεί Δήμαρχος Χειμάρρας.

Η επίλυση αυτού του θέματος είναι αναγκαία προϋπόθεση προκειμένου η Ελλάδα να κάνει και αυτή το επόμενο βήμα και να συμφωνήσει στην εκκίνηση της διαδικασίας των διαπραγματεύσεων της Αλβανίας με την Ευρωπαϊκή Ένωση. Και ελπίζω και εύχομαι το πρόβλημα αυτό να μπορέσει να επιλυθεί σε πνεύμα συνεργασίας και καλής διάθεσης, χωρίς να σκιάζει περαιτέρω τις σχέσεις των δύο κρατών."
Κυριάκος Μητσοτάκης: Replying to Abcabc για την ακρίβεια!,Κυριάκος Μητσοτάκης: Replying to Abcabc για την ακρίβεια!
Κυριάκος Μητσοτάκης: Επίσκεψη στην Τρίπολη,"Κυριάκος Μητσοτάκης: Επίσκεψη στην Τρίπολη

Από την Τρίπολη σήμερα, θέλω να σας μεταφέρω την ανάγκη να τελειώσουμε αυτό το οποίο ξεκίνησε την περασμένη Κυριακή: να εκλέξουμε τον Δημήτρη Πτωχό τον επόμενο Περιφερειάρχη Πελοποννήσου.

Στον πρώτο γύρο των εκλογών, ο Δημήτρης Πτωχός κέρδισε την εμπιστοσύνη των συμπολιτών του. Άρθρωσε έναν τεκμηριωμένο, σοβαρό, τεχνοκρατικό λόγο. Είμαι σίγουρος ότι με τη στήριξή σας θα είναι ένας εξαιρετικός Περιφερειάρχης για την Πελοπόννησο που τόσο αγαπά.

Δημήτρη, είμαστε δίπλα σου!"
Κυριάκος Μητσοτάκης: Έχουμε να τα πούμε καιρό,Κυριάκος Μητσοτάκης: Έχουμε να τα πούμε καιρό
Κυριάκος Μητσοτάκης: Επίσκεψη με τον Κώστα Μπακογιάννη στην Πλατεία Βικτωρίας,Κυριάκος Μητσοτάκης: Επίσκεψη με τον Κώστα Μπακογιάννη στην Πλατεία Βικτωρίας
"Κυριάκος Μητσοτάκης: Συζήτηση με τον Πρόεδρο του ΣΕΒ, Δημήτρη Παπαλεξόπουλο","Κυριάκος Μητσοτάκης: Συζήτηση με τον Πρόεδρο του ΣΕΒ, Δημήτρη Παπαλεξόπουλο"
Εκδήλωση για την υποψηφιότητα του Αλκιβιάδη Στεφανή για τη θέση του Περιφερειάρχη Βορείου Αιγαίου,"Εκδήλωση για την υποψηφιότητα του Αλκιβιάδη Στεφανή για τη θέση του Περιφερειάρχη Βορείου Αιγαίου

Είναι σημαντικό να ολοκληρώσουμε την Κυριακή αυτό που ξεκινήσαμε χθες. O Αλκιβιάδης Στεφανής είναι ένας άνθρωπος εξαιρετικά μεθοδικός, εξαιρετικά οργανωμένος. Ένας άνθρωπος ο οποίος έχει όραμα για το Βόρειο Αιγαίο, έχει πάθος για αυτό το οποίο κάνει. Δεν έχω καμία αμφιβολία ότι θα είναι ένας εξαιρετικός Περιφερειάρχης."
Κυριάκος Μητσοτάκης: Δηλώσεις με την Πρωθυπουργό της Εσθονίας Kaja Kallas,Κυριάκος Μητσοτάκης: Δηλώσεις με την Πρωθυπουργό της Εσθονίας Kaja Kallas
"Κυριάκος Μητσοτάκης: Στην Τριμερή Σύνοδο Κορυφής Ελλάδας, Βουλγαρίας, Ρουμανίας","Κυριάκος Μητσοτάκης: Στην Τριμερή Σύνοδο Κορυφής Ελλάδας, Βουλγαρίας, Ρουμανίας"
Κυριάκος Μητσοτάκης: Δήλωση για τα αποτελέσματα των Δημοτικών και Περιφερειακών Εκλογών 2023,Κυριάκος Μητσοτάκης: Δήλωση για τα αποτελέσματα των Δημοτικών και Περιφερειακών Εκλογών 2023
