Month,KKE_DKoutsoumpas,ND_KMitsotakis,NA-AHaritsis,SYRIZA-SKasselakis,PASOK-NAndroulakis,Plefsi-ZKonstantopoulou,EllinikiLysi-KVelopoulos,Spartiates-VStigas,NIKI-DNatsios
2018-04-30 00:00:00+00:00,1.0,2,,,2.0,,54.0,,
2018-05-31 00:00:00+00:00,0.0,0,4.0,,1.0,,40.0,,
2018-06-30 00:00:00+00:00,0.0,0,4.0,,1.0,,74.0,16.0,
2018-07-31 00:00:00+00:00,0.0,0,7.0,,1.0,,50.0,0.0,
2018-08-31 00:00:00+00:00,0.0,0,5.0,,1.0,,29.0,0.0,
2018-09-30 00:00:00+00:00,0.0,0,19.0,,1.0,,48.0,0.0,
2018-10-31 00:00:00+00:00,1.0,0,14.0,,1.0,,45.0,0.0,
2018-11-30 00:00:00+00:00,2.0,0,5.0,,0.0,,50.0,0.0,
2018-12-31 00:00:00+00:00,0.0,3,7.0,,1.0,,35.0,0.0,
2019-01-31 00:00:00+00:00,0.0,0,7.0,,1.0,,47.0,0.0,
2019-02-28 00:00:00+00:00,0.0,0,7.0,,0.0,,55.0,0.0,
2019-03-31 00:00:00+00:00,1.0,1,9.0,,0.0,,47.0,0.0,
2019-04-30 00:00:00+00:00,0.0,0,8.0,,1.0,,33.0,0.0,
2019-05-31 00:00:00+00:00,8.0,1,22.0,,1.0,,49.0,0.0,
2019-06-30 00:00:00+00:00,8.0,0,29.0,,0.0,,51.0,0.0,
2019-07-31 00:00:00+00:00,2.0,0,12.0,,0.0,,43.0,0.0,
2019-08-31 00:00:00+00:00,0.0,0,4.0,,0.0,,25.0,0.0,
2019-09-30 00:00:00+00:00,0.0,2,15.0,,0.0,,32.0,0.0,
2019-10-31 00:00:00+00:00,0.0,5,12.0,,0.0,,50.0,0.0,
2019-11-30 00:00:00+00:00,0.0,3,12.0,,1.0,,34.0,10.0,
2019-12-31 00:00:00+00:00,1.0,0,3.0,,2.0,,28.0,31.0,
2020-01-31 00:00:00+00:00,0.0,1,8.0,,3.0,,28.0,0.0,
