Title,Description
Οι «ΣΠΑΡΤΙΑΤΕΣ» δίπλα στους Αστυνομικούς κατά τη διαμαρτυρία στις εγκαταστάσεις των ΜΑΤ στο Γουδή,11/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για το Σ/Ν του Υπουργείου Κλιματικής Κρίσης",08/12/2023
"Ομιλία του Βουλευτή Αιτωλοακαρνανίας, Διονύσιου Βαλτογιάννη για το Σ/Ν Υπουργείου Κλιματικής Κρίσης",08/12/2023
"Ο Βουλευτής Α' Αθηνών, Αθανάσιος Χαλκιάς, στην τηλεοπτική εκπομπή «Τι λέει ο Νόμος» (ΒΟΥΛΗ TV)",07/12/2023
"Ομιλία Βουλευτή Α' Α. Αττικής, Ιωάννη Δημητροκάλλη, για το Σ/Ν του Υπουργείου Κλιματικής Κρίσης",08/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στη Διαρκή Επιτροπή Δημόσιας Διοίκησης",08/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στην Επιτροπή Θεσμών & Διαφάνειας",07/12/2023
"Ομιλία Βουλευτή Α' Αθηνών, Αθανασίου Χαλκιά, για το Σ/Ν Υπουργείου Οικονομίας για τη φοροδιαφυγή",07/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη για το Σ/Ν Υπουργείου Οικονομικών για τη φοροδιαφυγή",07/12/2023
"Ομιλία του Βουλευτή Β1' Βορείου Τομέα Αθηνών, Χ. Κατσιβαρδά, στην Επιτροπή Μορφωτικών Υποθέσεων",06/12/2023
"Ομιλία Βουλευτή Β1' Β. Τομέα Αθηνών, Χ. Κατσιβαρδά, για Σ/Ν Υπουργείου Οικονομίας για φοροδιαφυγή",07/12/2023
"Ομιλία του Βουλευτή Β2' Δ. Τομέα Αθηνών, Γεώργιου Μανούσου, για Σ/Ν Υπ. Οικονομικών για φοροδιαφυγή",07/12/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, για Σ/Ν Υπουργείου Οικονομικών για τη φοροδιαφυγή",06/12/2023
Οι «ΣΠΑΡΤΙΑΤΕΣ» κατά της επίσκεψης ψευδοσουλτάνου Ταγίπ Ερντογάν στην πατρίδα μας - «Ανεπιθύμητος!»,07/12/2023
"Ομιλία του Βουλευτή Β' Πειραιώς, Αλέξανδρου Ζερβέα, για το Σ/Ν του Υπουργείου Εθνικής Οικονομίας",06/12/2023
"Ο Βουλευτής Α' Αθηνών, Αθανάσιος Χαλκιάς, για το Σ/Ν «Μέτρα για τον περιορισμό της φοροδιαφυγής»",06/12/2023
"Ο Βουλευτής Α' Αθηνών, Α. Χαλκιάς, για το Σ/Ν του Υπουργείου Εθνικής Οικονομίας για τη φοροδιαφυγή",04/12/2023
"Ο Πρόεδρος των «ΣΠΑΡΤΙΑΤΩΝ», Βασίλειος Στίγκας, στην Ολομέλεια για το νέο φορολογικό νομοσχέδιο",06/12/2023
"Οι «ΣΠΑΡΤΙΑΤΕΣ» στην Εορτή του Αγίου Νικολάου, Προστάτη του Πολεμικού Ναυτικού  (Σ.Ν.Δ.)",06/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, για το Σ/Ν του Υπουργείου Οικονομικών",06/12/2023
"Ο Βουλευτής Β1' Βορείου Τομέα Αθηνών, Χ. Κατσιβαρδάς, στην Ειδική Μόνιμη Επιτροπή Σωφρονιστικού",04/12/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανασίου Χαλκιά, στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων",05/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, για την Εξεταστική Επιτροπή για τα Τέμπη",05/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στη Διαρκή Επιτροπή Δημόσιας Διοίκησης",05/12/2023
"Ομιλία του Βουλευτή, Α' Ανατολικής Αττικής, Ι. Δημητροκάλλη, στην Επιτροπή Παραγωγής & Εμπορίου",4/12/2023
"Ο Βουλευτής Α' Αθηνών, Αθανάσιος Χαλκιάς, στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων",04/12/2023
"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, στην εκπομπή  «Πρωινή Επισκόπηση» (ΒΟΥΛΗ TV)",04/12/2023
«ΣΠΑΡΤΙΑΤΕΣ»: Τιμή και Δόξα στους Πεσόντες του Συντάγματος Χωροφυλακής Μακρυγιάννη τον Δεκέμβριο,03/12/2023
"Δηλώσεις Προέδρου των «ΣΠΑΡΤΙΑΤΩΝ», Β. Στίγκα, μετά την ενημέρωση των πολιτικών αρχηγών από τον ΥΠΕΞ",01/12/2023
"Ομιλία του Βουλευτή, Α' Ανατολικής Αττικής, Ι. Δημητροκάλλη, στην Επιτροπή Παραγωγής & Εμπορίου",01/12/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για το Σ/Ν του Υπουργείου Εθνικής Οικονομίας",01/12/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, για το Σ/Ν του Υπουργείου Οικονομικών",01/12/2023
"Βασίλης Στίγκας, Πρόεδρος Κ.Ο. «ΣΠΑΡΤΙΑΤΕΣ» στη Βουλή: Δυναμικά στο πλευρό των Αρμενίων αδελφών μας!",01/12/2023
"Ο Πρόεδρος των «ΣΠΑΡΤΙΑΤΩΝ», Βασίλης Στίγκας ξεσκεπάζει το μιντιακό οχετό που έστησαν εις βάρος μας",01/12/ 2023
"Τοποθέτηση του Βουλευτή Αιτωλοακαρνανίας, Δ. Βαλτογιάννη, στην Επιτροπή Οδικής Ασφάλειας (Μέρος Β')",30/11/2023
"Τοποθέτηση του Βουλευτή Αιτωλοακαρνανίας, Διονύσιου Βαλτογιάννη, στην Επιτροπή Οδικής Ασφάλειας",30/11/2023
"Ομιλία Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, στην Ολομέλεια για το Σ/Ν του Υπουργείου Οικονομικών",01/12/2023
"Ομιλία Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στην Επιτροπή Δημοσίων Επιχειρήσεων για e-ΕΦΚΑ",30/11/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στην Επιτροπή Οικονομικών Υποθέσεων (Μέρος Β')",30/11/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων (Μέρος Β')",30/11/2023
"Οι «ΣΠΑΡΤΙΑΤΕΣ» στον Πάνδημο Εορτασμό του Πολιούχου της Πάτρας, Αγίου Ανδρέα του Πρωτοκλήτου",30/11/2023
"Ο Βουλευτής Α' Αθηνών, Αθανάσιος Χαλκιάς, στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων (Μέρος Β')",28/11/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων",30/11/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων",30/11/2023
"Τοποθέτηση του Βουλευτή Α' Α. Αττικής, Ι. Δημητροκάλλη, για το Σ/Ν του Υπουργείου Κλιματικής Κρίσης",29/11/2023
"Τοποθέτηση του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, στη Διαρκή Επιτροπή Οικονομικών Υποθέσεων",28/11/2023
"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, στην εκπομπή «Τι λέει ο Νόμος»  ΒΟΥΛΗ TV",16/11/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, στην Διαρκή Επιτροπή Οικονομικών Υποθέσεων",27/11/2023
"Επίκαιρη Ερώτηση του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στον Υφυπ. Εξωτερικών",27/11/2023
"Ο Βουλευτής Β' Θεσσαλονίκης, Πέτρος Δημητριάδης, για την Ημέρα εξάλειψης της βίας κατά των γυναικών",27/11/2023
«ΣΠΑΡΤΙΑΤΕΣ»: Τιμή στους 118 πατριώτες που εκτέλεσαν οι Ναζί κατακτητές στο Μονοδένδρι Λακωνίας,26/11/2023
"Οι «ΣΠΑΡΤΙΑΤΕΣ» τίμησαν τον πολιούχο και προστάτη της Σπάρτης, Όσιο Νίκωνα, τον «Μετανοείτε»",26/11/2023
"Ομιλία Βουλευτή Β1' Β. Τομέα Αθηνών, Χ. Κατσιβαρδά, για Προκαταρκτική Εξέταση για τραγωδία Τεμπών",24/11/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη, για Προκαταρκτική Εξέταση για τραγωδία των Τεμπών",24/11/2023
"Ομιλία του Βουλευτή Β' Πειραιώς, Α. Ζερβέα, για την Προκαταρκτική Εξέταση για τραγωδία των Τεμπών",24/11/2023
"Τοποθέτηση του Βουλευτή Ηρακλείου, Μιχαήλ Γαυγιωτάκη, στην Επιτροπή Περιφερειών για το Δημογραφικό",23/11/2023
"Ομιλία Βουλευτή Β' Θεσσαλονίκης, Π. Δημητριάδη, για σύσταση Εξεταστικής για τραγωδία των Τεμπών",24/11/2023
"Ομιλία του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά με αφορμή τον εορτασμό της Ημέρας Εθνικής Αντίστασης",24/11/2023
"Τοποθέτηση Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, στην Διαρκή Επιτροπή Οικονομικών Υποθέσεων",23/11/2023
"Τοποθέτηση του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στην Διαρκή Επιτροπή Οικονομικών Υποθέσεων",23/11/2023
"Ομιλία του Βουλευτή, Α' Ανατολικής Αττικής, Ι. Δημητροκάλλη, για το Σ/Ν του Υπουργείου Περιβάλλοντος",23/11/2023
"Δευτερολογία του Προέδρου των «ΣΠΑΡΤΙΑΤΩΝ», Β. Στίγκα, για ανασυγκρότηση της Θεσσαλίας & του Έβρου",22/11/2023
"Ομιλία του Προέδρου, Βασίλη Στίγκα, για τις καταστροφές των προηγούμενων μηνών σε Έβρο και Θεσσαλία",22/11/2023
"Τοποθέτηση του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στην Επιτροπή Ευρωπαϊκών Υποθέσεων",22/11/2023
Οι «ΣΠΑΡΤΙΑΤΕΣ» στον εορτασμό των Εισοδίων της Θεοτόκου πολιούχου της πρωτεύουσας της Βοιωτίας,Λιβαδειά 21/11/2023
"Ομιλία του Βουλευτή Α' Ανατ. Αττικής, Ι. Δημητροκάλλη για το Σ/Ν του Υπουργείου Ανάπτυξης & Τροφίμων",21/11/2023
"Τοποθέτηση του Βουλευτή Α' Ανατ. Αττικής, Ι. Δημητροκάλλη στην Επιτροπή Παραγωγής & Εμπορίου",20/11/2023
"Επίκαιρη Ερώτηση του Βουλευτή Ηρακλείου, Μ. Γαυγιωτάκη, στον  υπουργό Προστασίας του Πολίτη",20/11/2023
"Επίκαιρη Ερώτηση, του Βουλευτή Β' Πειραιώς, Α. Ζερβέα, στον υπουργό Εξωτερικών, Γιώργο Γεραπετρίτη",20/11/2023
Οι «ΣΠΑΡΤΙΑΤΕΣ» στην Ημερίδα: «Η καταστροφική πολιτική της Τουρκίας» στο Μέγαρο της Παλαιάς Βουλής,19/11/2023
"Τοποθέτηση Βουλευτή Β' Θεσσαλονίκης, Π. Δημητριάδη στην Επιτροπή Δημόσιας Διοίκησης για το διαδίκτυο",15/11/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, για το Σ/Ν του Υπουργείου Δικαιοσύνης",16/11/2023
"Ομιλία του Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για το Σχέδιο Νόμου του Υπουργείου Δικαιοσύνης",16/11/2023
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, για σύσταση Εξεταστικής για την τραγωδία στα Τέμπη",15/11/2023
"Ομιλία Βουλευτή Β1' Β. Τομέα Αθηνών, Χ. Κατσιβαρδά, για σύσταση Εξεταστικής της τραγωδίας στα Τέμπη",15/11/2023
