,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
28,w4LK0qnAa8w,Για τον προοδευτικό κόσμο που ύψωσε ανάστημα,2023-10-15 22:12:45+00:00,"Ήθελα να είμαι μαζί σας απόψε.
Σας στέλνω ένα μήνυμα από τη Νέα Υόρκη.
Για τον προοδευτικό κόσμο που ύψωσε ανάστημα.
Για τη σύγχρονη Αριστερά που ακομπλεξάριστα είπε, πριν καν την πρώτη Κυριακή, «είμαστε με τους προοδευτικούς υποψηφίους χωρίς αστερίσκους».
Και είδατε τι έγινε.",[],5515,250,0,74,2023-10-15,22:12:45,0.04533091568449683,0.013417951042611061,0.0,2559.05
29,MK8DSjxifQ8,Stefanos Kasselakis Live Stream,2023-10-11 11:59:07+00:00,,[],0,0,0,0,2023-10-11,11:59:07,,,,0.0
30,b1ODKWhC7hc,Ομιλία στη γενική συνέλευση των μελών του ΣΕΒ,2023-10-11 10:20:39+00:00,"Ομιλία του προέδρου του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία,  Στέφανου Κασσελάκη, στη γενική συνέλευση των μελών του ΣΕΒ. (11.10.2023)",[],5932,215,0,47,2023-10-11,10:20:39,0.03624409979770735,0.007923128792987188,0.0,2732.55
31,xV7GHMSCA2g,Αποσπάσματα από τη συνέντευξή μου στην εκπομπή «Πρωταγωνιστές» και τον Σταύρο Θεοδωράκη,2023-10-05 23:24:43+00:00,"«Ανθρωπιά». Αυτή είναι η πολιτική μου σκέψη. Ό,τι κάνω, σκέφτομαι: «Το κάνουμε με ανθρωπιά;»
👉Για όσους νομίζουν ότι έχουν βρει ένα «αμερικανάκι» σε μένα, σύντομα θα καταλάβουν ότι έχουν βρει έναν Κρητίκαρο.
👉Μία από τις συμβουλές που μου έδωσε ο Αλέξης Τσίπρας: «Από κάθε έναν να παίρνεις κάτι θετικό». Και νομίζω είναι πολύ σοφό αυτό.
👉Ποτέ δεν θα με ακούσεις να λέω ότι γνωρίζω τα πάντα. Είναι αλαζονικό να είσαι πολιτικός και να λες «ξέρω τα πάντα». Διότι στα χέρια σου έχεις τη ζωή του πολίτη και αν λοιπόν νομίζεις ότι ξέρεις τα πάντα και είσαι λάθος, χαλάς το μέλλον του πολίτη. Αυτό που πρέπει να κάνεις ως πολιτικός και ειδικά σαν κυβέρνηση είναι να κάνεις λιγότερα λάθη.
👉Η υγιής επιχειρηματικότητα και η προκοπή είναι αριστεροί όροι. Δεν πρόκειται να τους δώσουμε στη Δεξιά. Η αντίδραση «Α! Είσαι επιχειρηματίας και πρέπει να είσαι δεξιός» είναι μια προκατάληψη. Τα μέλη του ΣΥΡΙΖΑ απέδειξαν ξεκάθαρα ότι είναι προκατάληψη.
👉Η Παιδεία είναι δημόσιο αγαθό, το ρεύμα είναι δημόσιο αγαθό. Το νερό είναι δημόσιο αγαθό. Έχει αποδειχθεί σε διάφορες χώρες, και στις Ηνωμένες Πολιτείες και στο Ηνωμένο Βασίλειο, ότι τα δημόσια αγαθά, όταν διοικούνται με όρους κερδοσκοπικούς,  μπορεί να δημιουργήσουν προβλήματα στην κοινωνία.
👉Δεν είναι προσωπικό του γονέα. Είναι προσωπικό του παιδιού. Άρα να σεβόμαστε τη βούληση του παιδιού για το πώς θέλει να εκδηλωθεί, να είναι ο εαυτός του. Και η δεύτερη συμβουλή που θα είχα, είναι: Μην περιμένετε αναγκαστικά να το πει το παιδί σε εσάς. Μην περιμένεις να το ακούσεις από τον γιο σου, την κόρη σου. Διαβάστε τα μηνύματα και δώστε μια ζεστασιά.
👉Υπάρχει μια μεγάλη πλειοψηφία στην Ελλάδα που θέλει να ξεφύγει από το «Συριζαίος» και το «Νεοδημοκράτης» στο Νοσοκομείο, στο Πανεπιστήμιο, στη Δικαιοσύνη, στο Δημόσιο.
Ακριβώς αυτό πρέπει να αλλάξουμε.",[],17955,262,0,54,2023-10-05,23:24:43,0.014592035644667224,0.0030075187969924814,0.0,8156.05
32,LVHW05K125U,Ομιλία στη συνεδρίαση της ΚΟ του ΣΥΡΙΖΑ - ΠΣ,2023-10-05 15:34:58+00:00,"Ομιλία του προέδρου του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία, στη συνεδρίαση της ΚΟ. (05.10.2023)",[],23942,516,0,168,2023-10-05,15:34:58,0.02155208420349177,0.007016957647648484,0.0,10936.5
33,BHPypYmz_NE,"Δήλωση μετά την συνάντηση με τον Πρόεδρο της Κυπριακής Δημοκρατίας, κ. Χριστοδουλίδη",2023-10-05 08:44:40+00:00,"Δήλωση του προέδρου του ΣΥΡΙΖΑ - ΠΣ, Στέφανου Κασσελάκη, μετά την συνάντηση με τον Πρόεδρο της Κυπριακής Δημοκρατίας, κ. Χριστοδουλίδη. (04.10.2023)",[],2149,97,0,15,2023-10-05,08:44:40,0.045137273150302464,0.006979990693345742,0.0,994.3000000000001
34,xAdsB8UFVPE,"Ο πρωθυπουργός της νέας εποχής ό,τι λέει θα το κάνει. Και για ό,τι κάνει, θα έχει όλη την ευθύνη.",2023-10-05 08:38:49+00:00,,[],8390,343,0,35,2023-10-05,08:38:49,0.04088200238379023,0.004171632896305125,0.0,3868.25
35,fw3r_4ZKDnk,Η παρακμή τελειώνει. Θα είμαστε εδώ για να στηρίξουμε μια Σύγχρονη Ελλάδα.,2023-10-05 08:30:56+00:00,,[],19699,610,0,79,2023-10-05,08:30:56,0.0309660388852226,0.004010355855627189,0.0,9032.85
36,t5HdZqGc-Rw,Θα έχουμε το δικό μας μεγάφωνο και θα είστε εσείς,2023-10-05 08:25:52+00:00,"«Πουθενά το Κράτος. Εσείς είστε οι πρώτοι που μπαίνετε στα σπίτια μας».
Η φράση που ακούω από το πρωί.
Στη Μαγνησία, στην Καρδίτσα, στη Φθιώτιδα.
Μιλώντας με πλημμυροπαθείς και εθελοντές που έχουν μόνο ο ένας τον άλλο, απέναντι στη λάσπη και τον χρόνο.
Κάνω έκκληση στην Πολιτεία για βοήθεια.
Είναι μόνοι τους.
Στον Παλαμά Καρδίτσας, είχα πάει πριν από δύο εβδομάδες.
«Κασσελάκη, ήρθες πάλι;», είπε ένας κάτοικος μόλις με είδε.
Τον ρώτησα: «Έχει έρθει κανείς στο μεταξύ;».
«Κανένας δεν ήρθε…», απάντησε.

Θα είμαι εκεί που «κανένας δεν πάει».
Εκεί που το πρόβλημα δεν κρύβεται κάτω από το χαλί.
Ακόμη και τώρα που γράφω αυτές τις γραμμές, μέσα στο αυτοκίνητο, πηγαίνω από χωριό σε χωριό. Μαζί με τον Σωκράτη Φάμελλο.

«Απροειδοποίητα ήρθατε», μας είπε μία παρέα στο καφενείο πριν από δυο ώρες. Απροειδοποίητα. Απρόβλεπτα. Αδιαμεσολάβητα.

Αυτός θα είναι ο ΣΥΡΙΖΑ από εδώ και πέρα.
Θα αρχίζει από την κοινωνία.
Θα έχουμε το δικό μας μεγάφωνο και θα είστε εσείς.",[],1868,104,0,38,2023-10-05,08:25:52,0.055674518201284794,0.020342612419700215,0.0,874.2
37,tX9YxqAQZFw,"Συνέντευξη στο κεντρικό δελτίο ειδήσεων του ""STAR""",2023-09-28 18:13:05+00:00,"Συνέντευξη του προέδρου του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία, Στέφανου Κασσελάκη, στο κεντρικό δελτίο ειδήσεων του ""STAR"" και τη δημοσιογράφο Μάρα Ζαχαρέα. (28.09.2023)",[],51688,874,0,362,2023-09-28,18:13:05,0.01690914719083733,0.007003559820461229,0.0,23550.500000000004
